Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
L. Romo,Luis Romo,76,0,"CM,CDM",CM,Mexico,27,Free agent
E. Mwepu,Enock Mwepu,76,12000000,"CM,CAM,CDM",CM,Zambia,24,Brighton & Hove Albion
L. Pellegrini,Luca Pellegrini,76,11000000,"LB,LWB",LB,Italy,23,Eintracht Frankfurt
D. McNeil,Dwight McNeil,76,11500000,"LM,RM",CAM,England,22,Everton
Catena,Alejandro Catena Marugán,76,8000000,CB,CB,Spain,27,Rayo Vallecano
Jovane Cabral,Jovane Eduardo Borges Cabral,76,12000000,"LW,RW",RM,Cape Verde Islands,24,Sporting CP
A. Kalimuendo,Arnaud Kalimuendo,76,12000000,ST,ST,France,20,Stade Rennais FC
R. Zentner,Robin Zentner,76,7000000,GK,GK,Germany,27,1. FSV Mainz 05
A. Stach,Anton Stach,76,12000000,"CM,CDM",CM,Germany,23,1. FSV Mainz 05
C. Nørgaard,Christian Nørgaard,76,6500000,"CDM,CM",CDM,Denmark,28,Brentford
F. Vázquez,Franco Vázquez,76,4700000,"CAM,CM",CAM,Argentina,33,Parma
A. Webster,Adam Webster,76,8500000,CB,CB,England,27,Brighton & Hove Albion
Roger,Roger Martí Salvador,76,6500000,ST,ST,Spain,31,Elche CF
R. Fraser,Ryan Fraser,76,7500000,"RM,LM",RM,Scotland,28,Newcastle United
B. Traoré,Bertrand Traoré,76,8000000,"RM,RW",RM,Burkina Faso,26,İstanbul Başakşehir FK
Paulo Otávio,Paulo Otávio Rosa da Silva,76,7000000,"LB,LM",LB,Brazil,27,VfL Wolfsburg
Andreas Pereira,Andreas Hugo Hoelgebaum Pereira,76,10000000,"CAM,CM,RM",CAM,Brazil,26,Fulham
J. Gastien,Johan Gastien,76,2600000,CDM,CDM,France,34,Clermont Foot 63
F. Mollet,Florent Mollet,76,7000000,"RM,CAM",RM,France,30,FC Schalke 04
E. Mena,Eugenio Mena,76,3900000,"LB,LWB",LB,Chile,33,Racing Club
André Ramalho,André Ramalho Silva,76,6000000,CB,CB,Brazil,30,PSV
A. Hegazi,Ahmed Hegazi,76,5000000,CB,CB,Egypt,31,Al Ittihad
C. Nielsen,Casper Nielsen,76,7500000,"CM,CDM",CM,Denmark,28,Club Brugge KV
J. Hart,Joe Hart,76,825000,GK,GK,England,35,Celtic
M. Sanson,Morgan Sanson,76,8000000,CM,CM,France,27,Aston Villa
G. Fernández,Guillermo Fernández,76,7000000,"CM,CDM",CM,Argentina,30,Boca Juniors
D. Rugani,Daniele Rugani,76,7500000,CB,CB,Italy,27,Juventus
D. Cataldi,Danilo Cataldi,76,7500000,"CDM,CM",CM,Italy,27,Lazio
M. Elneny,Mohamed Elneny,76,6500000,"CDM,CM",CDM,Egypt,29,Arsenal
N. Maupay,Neal Maupay,76,9500000,ST,ST,France,25,Everton
P. Frankowski,Przemysław Frankowski,76,8000000,"LWB,RWB",RM,Poland,27,Racing Club de Lens
R. Gagliardini,Roberto Gagliardini,76,6500000,"CDM,CM",CDM,Italy,28,Inter
B. Mechele,Brandon Mechele,76,7000000,CB,CB,Belgium,29,Club Brugge KV
D. Kohr,Dominik Kohr,76,7000000,"CDM,CM",CB,Germany,28,1. FSV Mainz 05
Ricardo Esgaio,Ricardo Sousa Esgaio,76,6500000,"RWB,RB,CB",RWB,Portugal,29,Sporting CP
H. Ekitike,Hugo Ekitike,76,16500000,ST,ST,France,20,Paris Saint-Germain
A. Pyatov,Andriy Pyatov,76,825000,GK,GK,Ukraine,38,Shakhtar Donetsk
R. Steffen,Renato Steffen,76,7000000,"LM,RM",LM,Switzerland,30,FC Lugano
F. Ribéry,Franck Ribéry,76,2600000,"CF,ST,CAM",CAM,France,39,US Salernitana 1919
Diego Costa,Diego da Silva Costa,76,4800000,ST,ST,Spain,33,Wolverhampton Wanderers
K. Jakić,Kristijan Jakić,76,9000000,"CDM,CM",CDM,Croatia,25,Eintracht Frankfurt
L. Biglia,Lucas Biglia,76,1500000,"CDM,CM",CDM,Argentina,36,İstanbul Başakşehir FK
João Victor,João Victor da Silva Marcelino,76,15500000,CB,CB,Brazil,23,SL Benfica
C. Lukeba,Castello Lukeba,76,15000000,CB,CB,France,19,Olympique Lyonnais
R. Cota,Rodolfo Cota,76,0,GK,GK,Mexico,34,Free agent
Ö. Toprak,Ömer Toprak,76,4900000,CB,CB,Turkey,32,Antalyaspor
M. Moralez,Maxi Moralez,76,3100000,"CAM,CM",CAM,Argentina,35,New York City FC
S. Terodde,Simon Terodde,76,3600000,ST,ST,Germany,34,FC Schalke 04
Víctor Díaz,Víctor David Díaz Miguel,76,2400000,"CB,RB",CB,Spain,34,Granada CF
M. Sakho,Mamadou Sakho,76,4900000,CB,CB,France,32,Montpellier Hérault SC
M. Gradel,Max-Alain Gradel,76,3500000,"LW,LM",CF,Côte d'Ivoire,34,Demir Grup Sivasspor
S. Coleman,Séamus Coleman,76,3900000,"RB,RWB",RB,Republic of Ireland,33,Everton
I. Ilić,Ivan Ilić,76,17000000,"CM,CF",CAM,Serbia,21,Hellas Verona
R. Nainggolan,Radja Nainggolan,76,3500000,"CM,CAM,CDM",CM,Belgium,34,Royal Antwerp FC
F. Forster,Fraser Forster,76,1300000,GK,GK,England,34,Tottenham Hotspur
R. Vormer,Ruud Vormer,76,3500000,CM,CM,Netherlands,34,Club Brugge KV
F. Quagliarella,Fabio Quagliarella,76,2600000,ST,CAM,Italy,39,U.C. Sampdoria
Falcao,Radamel Falcao García Zarate,76,2600000,ST,ST,Colombia,36,Rayo Vallecano
L. De Silvestri,Lorenzo De Silvestri,76,2800000,"RWB,RM",RWB,Italy,34,Bologna
T. Krul,Tim Krul,76,1300000,GK,GK,Netherlands,34,Norwich City
Y. Gómez Andrade,Yeimar Gómez Andrade,76,6000000,CB,CB,Colombia,30,Seattle Sounders FC
H. Moreno,Héctor Moreno,76,0,CB,CB,Mexico,34,Free agent
Juan Mata,Juan Manuel Mata García,76,3500000,"CAM,RM",CAM,Spain,34,Galatasaray SK
S. Okaka,Stefano Okaka,76,6000000,ST,ST,Italy,32,İstanbul Başakşehir FK
Miguel Veloso,Miguel Luís Pinto Veloso,76,2400000,"CM,CDM",CM,Portugal,36,Hellas Verona
V. Muriqi,Vedat Muriqi,75,6000000,ST,ST,Kosovo,28,RCD Mallorca
C. Goodwin,Craig Goodwin,75,5500000,"LM,RM",LM,Australia,30,Adelaide United
H. Lindner,Heinz Lindner,75,3000000,GK,GK,Austria,31,FC Sion
J. Lascelles,Jamaal Lascelles,75,5500000,CB,CB,England,28,Newcastle United
J. Gouweleeuw,Jeffrey Gouweleeuw,75,4600000,CB,CB,Netherlands,30,FC Augsburg
F. Kainz,Florian Kainz,75,5500000,"LM,RM",LM,Austria,29,1. FC Köln
D. Caligiuri,Daniel Caligiuri,75,2600000,"RM,RWB,CM",RM,Italy,34,FC Augsburg
Aihen Muñoz,Aihen Muñoz Capellán,75,8000000,LB,LB,Spain,24,Real Sociedad
J. Graterol,Joel Graterol,75,7000000,GK,GK,Venezuela,25,América de Cali
M. Sadílek,Michal Sadílek,75,8000000,"CDM,CM,LB",CDM,Czech Republic,23,FC Twente
M. Pjaca,Marko Pjaca,75,6500000,"CF,ST",CAM,Croatia,27,Empoli
Nacho Vidal,Ignacio Vidal Miralles,75,6000000,"RB,RWB",RB,Spain,27,CA Osasuna
Bruno Costa,Bruno Xavier Almeida Costa,75,8000000,CM,CM,Portugal,25,FC Porto
J. Fuenzalida,José Pedro Fuenzalida,75,1800000,"RW,RM,RB",RM,Chile,37,Universidad Católica
P. Olayinka,Peter Olayinka,75,6500000,"LM,RM",LM,Nigeria,26,SK Slavia Praha
B. Schmitz,Benno Schmitz,75,5500000,RB,RB,Germany,27,1. FC Köln
S. Banza,Simon Banza,75,7500000,ST,ST,France,25,SC Braga
D. Toköz,Dorukhan Toköz,75,7500000,"CM,CDM,RB",CDM,Turkey,26,Trabzonspor
J. Guilavogui,Josuha Guilavogui,75,3900000,"CDM,CB",CB,France,31,VfL Wolfsburg
Edu Expósito,Eduardo Expósito Jaén,75,7500000,"CAM,CM,CDM",CM,Spain,25,RCD Espanyol de Barcelona
T. Livramento,Tino Livramento,75,11500000,"RB,RWB",RB,England,19,Southampton
J. Lerma,Jefferson Lerma,75,5500000,"CDM,CM",CDM,Colombia,27,AFC Bournemouth
M. Rodák,Marek Rodák,75,6500000,GK,GK,Slovakia,25,Fulham
S. Bornauw,Sebastiaan Bornauw,75,8000000,CB,CB,Belgium,23,VfL Wolfsburg
Fernando,Fernando Martínez Rubio,75,2800000,GK,GK,Spain,32,Unión Deportiva Almería
O. Colley,Omar Colley,75,4700000,CB,CB,Gambia,29,U.C. Sampdoria
C. Taylor,Charlie Taylor,75,5000000,LB,LB,England,28,Burnley
N. Höfler,Nicolas Höfler,75,3700000,"CDM,CM",CDM,Germany,32,Sport-Club Freiburg
S. Ulreich,Sven Ulreich,75,1800000,GK,GK,Germany,33,FC Bayern München
D. Cockburn,Dejon Cockburn,75,6000000,ST,ST,Jamaica,27,AFC Richmond
B. Drągowski,Bartłomiej Drągowski,75,6000000,GK,GK,Poland,24,Spezia
C. Guanca,Cristian Guanca,75,5500000,"CAM,RW,ST",CAM,Argentina,29,Al Shabab
Aguado,Álvaro Aguado Méndez,75,7500000,"CM,CAM,CDM",CM,Spain,26,Real Valladolid CF
Pedrinho,Pedro Filipe Barbosa Moreira,75,5500000,"CM,CAM",CAM,Portugal,29,MKE Ankaragücü
K. Hause,Kortney Hause,75,6000000,CB,CB,England,26,Watford
V. Lazaro,Valentino Lazaro,75,6000000,"RWB,RM,RB",RWB,Austria,26,Torino F.C.
P. Stojanović,Petar Stojanović,75,7000000,RB,RB,Slovenia,26,Empoli
S. Birindelli,Samuele Birindelli,75,12000000,"RWB,RM,RB",RWB,Italy,22,AC Monza
L. Miranda,Leonel Miranda,75,5500000,"CM,CDM",CM,Argentina,28,Racing Club
K. Adeyemi,Karim Adeyemi,75,13500000,ST,ST,Germany,20,Borussia Dortmund
Rubén Pérez,Rubén Salvador Pérez del Mármol,75,2800000,"CDM,CM",CDM,Spain,33,Panathinaikos FC
Rodrigo Ely,Rodrigo Ely,75,4800000,CB,CB,Brazil,28,Unión Deportiva Almería
T. O'Brien,Tom O'Brien,75,5500000,GK,GK,England,27,AFC Richmond
S. Bell,Stefan Bell,75,4600000,CB,CB,Germany,30,1. FSV Mainz 05
A. Cornelius,Andreas Cornelius,75,5500000,ST,ST,Denmark,29,F.C. København
F. Uduokhai,Felix Uduokhai,75,7000000,CB,CB,Germany,24,FC Augsburg
M. Camara,Mady Camara,75,8000000,"CM,CDM",CM,Guinea,25,Roma
Marcano,Iván Marcano Sierra,75,1500000,CB,CB,Spain,35,FC Porto
O. Kukoč,Ozzie Kukoč,75,11500000,"RM,RB",RM,England,22,AFC Richmond
Jesus Andradaldo,Jesus Fabrício Andrade Simões,75,4800000,RB,RB,Brazil,30,Cuiabá
J. Cabot,Jimmy Cabot,75,5500000,"RM,RWB",RM,France,28,Racing Club de Lens
Rubens Freitosa,Rubens Jairo Freitosa Costa,75,1800000,CM,CM,Brazil,38,Club Athletico Paranaense
Rony Lopes,Marcos Paulo Mesquita Lopes,75,6500000,"RW,LW,RM",RW,Portugal,26,ESTAC Troyes
L. Morgan,Lewis Morgan,75,7000000,"RW,CF,LW",RM,Scotland,25,New York Red Bulls
Bernard,Bernard Anício Caldeira Duarte,75,5500000,LW,LW,Brazil,29,Panathinaikos FC
A. Elis,Alberth Elis,75,7500000,"ST,RM",ST,Honduras,26,FC Girondins de Bordeaux
U. Babatunde,Ugo Babatunde,75,4600000,CB,CB,Nigeria,30,AFC Richmond
A. Hickey,Aaron Hickey,75,12000000,"RB,LB,LWB",RB,Scotland,20,Brentford
I. Baba,Iddrisu Baba,75,7500000,"CDM,CM,CB",CDM,Ghana,26,RCD Mallorca
T. Lamptey,Tariq Lamptey,75,12000000,"RWB,RB",RWB,Ghana,21,Brighton & Hove Albion
N. Okafor,Noah Okafor,75,12500000,"ST,CAM,LM",RM,Switzerland,22,FC Red Bull Salzburg
E. Le Fée,Enzo Le Fée,75,11500000,"CM,CAM,RM",CM,France,22,FC Lorient
J. Doku,Jérémy Doku,75,12500000,"RW,RM",CAM,Belgium,20,Stade Rennais FC
Fran García,Francisco José García Torres,75,12000000,"LB,LM",LWB,Spain,22,Rayo Vallecano
Aihen Muñoz,Aihen Muñoz Capellán,75,8000000,LB,LB,Spain,24,Real Sociedad
A. Pieper,Amos Pieper,75,7000000,CB,CB,Germany,24,SV Werder Bremen
O. Kossounou,Odilon Kossounou,75,12000000,"CB,RB",CB,Côte d'Ivoire,21,Bayer 04 Leverkusen
R. Rojas,Robert Rojas,75,6000000,"RB,CB",RB,Paraguay,26,River Plate
J. Ramsey,Jacob Ramsey,75,12500000,"CM,CAM",CAM,England,21,Aston Villa
A. Král,Alex Král,75,8000000,"CDM,CM",CDM,Czech Republic,24,FC Schalke 04
P. Ševčík,Petr Ševčík,75,5500000,"CM,RM,CDM",CM,Czech Republic,28,SK Slavia Praha
Fran Navarro,Francisco José Navarro Aliaga,75,8500000,ST,ST,Spain,24,Gil Vicente FC
A. Palavecino,Agustín Palavecino,75,6500000,"CM,CAM",CAM,Argentina,25,River Plate
Moncayola,Jon Moncayola Tollar,75,9000000,"CM,CDM",CM,Spain,24,CA Osasuna
N. Collins,Nathan Collins,75,10500000,"CB,RB",CB,Republic of Ireland,21,Wolverhampton Wanderers
A. Hickey,Aaron Hickey,75,12000000,"RB,LB,LWB",RB,Scotland,20,Brentford
J. Graterol,Joel Graterol,75,7000000,GK,GK,Venezuela,25,América de Cali
Jean Lucas,Jean Lucas de Souza Oliveira,75,8500000,"CM,CDM,CAM",CM,Brazil,24,AS Monaco
B. Johnson,Brennan Johnson,75,12500000,"RW,ST",RM,Wales,21,Nottingham Forest
Samuel Lino,Samuel Dias Lino,75,12500000,"LM,ST,RM",LM,Brazil,22,Valencia CF
K. Adeyemi,Karim Adeyemi,75,13500000,ST,ST,Germany,20,Borussia Dortmund
Daniel Bragança,Daniel Santos Bragança,75,12500000,CM,CAM,Portugal,23,Sporting CP
A. Velasco,Alan Velasco,75,12000000,"LM,LW,CAM",CAM,Argentina,19,FC Dallas
Tiago Djaló,Tiago Emanuel Embaló Djaló,75,10500000,"CB,RB,LB",CB,Portugal,22,LOSC Lille
L. Ivanušec,Luka Ivanušec,75,11500000,"CAM,CM,RM",CAM,Croatia,23,Dinamo Zagreb
M. Viña,Matías Viña,75,7000000,"LWB,LM,LB",LWB,Uruguay,24,Roma
L. Provod,Lukáš Provod,75,8000000,"CM,LM",LM,Czech Republic,25,SK Slavia Praha
L. Thomas,Luke Thomas,75,8000000,"LB,LWB",LB,England,21,Leicester City
M. Mudryk,Mykhailo Mudryk,75,12500000,"LM,CAM",RM,Ukraine,21,Shakhtar Donetsk
Vítor Tormena,Vítor Tormena de Farias,75,6500000,CB,CB,Brazil,26,SC Braga
Silas,Silas Katompa Mvumpa,75,11500000,"RM,LM,ST",ST,Congo DR,23,VfB Stuttgart
T. Teuma,Teddy Teuma,75,5500000,"CM,CDM",CM,Malta,28,Royale Union Saint-Gilloise
S. Bornauw,Sebastiaan Bornauw,75,8000000,CB,CB,Belgium,23,VfL Wolfsburg
Riqui Puig,Ricard Puig Martí,75,12500000,CM,CAM,Spain,22,LA Galaxy
L. Balerdi,Leonardo Balerdi,75,8000000,CB,CB,Argentina,23,Olympique de Marseille
A. Gordon,Anthony Gordon,75,12500000,"LM,RM",RM,England,21,Everton
B. Mbeumo,Bryan Mbeumo,75,9000000,"RW,ST",CAM,Cameroon,22,Brentford
L. Openda,Loïs Openda,75,12500000,ST,ST,Belgium,22,Racing Club de Lens
Y. Adli,Yacine Adli,75,11500000,"CM,CAM",CAM,France,21,AC Milan
D. Spence,Djed Spence,75,12000000,"RWB,RB",RWB,England,21,Tottenham Hotspur
A. Lunin,Andriy Lunin,75,11000000,GK,GK,Ukraine,23,Real Madrid CF
D. Kyereh,Daniel-Kofi Kyereh,75,7500000,"CAM,ST,RM",CAM,Ghana,26,Sport-Club Freiburg
N. Pérez,Nehuén Pérez,75,10500000,CB,CB,Argentina,22,Udinese Calcio
U. Račić,Uroš Račić,75,8500000,"CM,CDM",CM,Serbia,24,SC Braga
G. Bushchan,Georgiy Bushchan,75,5000000,GK,GK,Ukraine,28,Dynamo Kyiv
J. Lindstrøm,Jesper Lindstrøm,75,12500000,"CAM,CF",CAM,Denmark,22,Eintracht Frankfurt
L. Tawamba,Léandre Tawamba,75,4600000,ST,ST,Cameroon,32,Al Taawoun
P. Bucha,Pavel Bucha,75,8000000,"CM,CAM,CDM",CAM,Czech Republic,24,FC Viktoria Plzeň
Bruno Costa,Bruno Xavier Almeida Costa,75,8000000,CM,CM,Portugal,25,FC Porto
S. Giménez,Santiago Giménez,75,12500000,ST,ST,Mexico,21,Feyenoord
M. Sadílek,Michal Sadílek,75,8000000,"CDM,CM,LB",CDM,Czech Republic,23,FC Twente
T. Bašić,Toma Bašić,75,8000000,"CM,CDM",CM,Croatia,25,Lazio
E. Destanoğlu,Ersin Destanoğlu,75,7500000,GK,GK,Turkey,21,Beşiktaş JK
M. Kumbulla,Marash Kumbulla,75,10500000,CB,CB,Albania,22,Roma
P. Beruatto,Pietro Beruatto,75,8500000,LB,LB,Italy,23,Pisa
K. Furuhashi,Kyogo Furuhashi,75,6000000,"ST,LW",ST,Japan,27,Celtic
C. Cáceda,Carlos Cáceda,75,3700000,GK,GK,Peru,30,FBC Melgar
G. Rutter,Georginio Rutter,75,12500000,ST,ST,France,20,TSG Hoffenheim
Moncayola,Jon Moncayola Tollar,75,9000000,"CM,CDM",CM,Spain,24,CA Osasuna
M. Ngadeu,Michael Ngadeu,75,3800000,CB,CB,Cameroon,31,KAA Gent
O. Mangala,Orel Mangala,75,8500000,"CM,CDM",CM,Belgium,24,Nottingham Forest
F. Pizzini,Francisco Pizzini,75,5500000,"RM,LM",RM,Argentina,28,Club Atlético Talleres
J. Martin,Jonas Martin,75,4400000,"CM,CDM",CM,France,32,LOSC Lille
D. Pelkas,Dimitrios Pelkas,75,5500000,"CAM,LM,CM",CAM,Greece,28,Hull City
L. Waldschmidt,Luca Waldschmidt,75,7500000,"CF,ST",CAM,Germany,26,VfL Wolfsburg
A. Brignoli,Alberto Brignoli,75,3700000,GK,GK,Italy,30,Panathinaikos FC
T. Hamed,Tarek Hamed,75,2800000,"CDM,CM",CDM,Egypt,33,Al Ittihad
Unai López,Unai López Cabrera,75,7500000,"CM,CDM,CAM",CAM,Spain,26,Rayo Vallecano
A. Buksa,Adam Buksa,75,7000000,ST,ST,Poland,25,Racing Club de Lens
Álvaro,Álvaro González Soberón,75,3600000,CB,CB,Spain,32,Al Nassr
A. Lozano,Anthony Lozano,75,5500000,"ST,LM",ST,Honduras,29,Cádiz CF
S. Posch,Stefan Posch,75,7000000,"CB,RB",CB,Austria,25,Bologna
D. Mihailovic,Djordje Mihailovic,75,9000000,"CF,CAM,CM",CAM,United States,23,Club de Foot Montréal
Samu Castillejo,Samuel Castillejo Azuaga,75,6000000,"RM,LM",RM,Spain,27,Valencia CF
J. Leca,Jean-Louis Leca,75,625000,GK,GK,France,36,Racing Club de Lens
Silas,Silas Katompa Mvumpa,75,11500000,"RM,LM,ST",ST,Congo DR,23,VfB Stuttgart
A. Ayew,André Ayew,75,0,"ST,RW",CF,Ghana,32,Free agent
C. Lema,Cristian Lema,75,3600000,CB,CB,Argentina,32,Newell's Old Boys
José Callejón,José María Callejón Bueno,75,2300000,"RM,ST",RM,Spain,35,Granada CF
O. Dorley,Oscar Dorley,75,8500000,"LB,LM,CM",LM,Liberia,23,SK Slavia Praha
J. Lotomba,Jordan Lotomba,75,7500000,"RB,LB",RWB,Switzerland,23,OGC Nice
M. Sarr,Malang Sarr,75,7000000,"CB,LB",CB,France,23,AS Monaco
P. Schuurs,Perr Schuurs,75,10500000,CB,CB,Netherlands,22,Torino F.C.
Cote,José Ángel Valdés Díaz,75,3900000,LB,LB,Spain,32,Real Sporting de Gijón
Salva Sevilla,Salvador Sevilla López,75,1100000,"CDM,CM",CDM,Spain,38,Deportivo Alavés
Danisco Fachini,Daniel Clayton Fachini Lobato,75,1900000,CDM,CDM,Brazil,34,Flamengo
K. Itakura,Ko Itakura,75,7500000,"CB,CDM",CB,Japan,25,Borussia Mönchengladbach
J. Bellegarde,Jean-Ricner Bellegarde,75,8500000,"CM,CDM",CM,France,24,RC Strasbourg Alsace
Borja Bastón,Borja González Tomás,75,5500000,ST,ST,Spain,29,Real Oviedo
W. Hughes,Will Hughes,75,6500000,"CM,CDM",CM,England,27,Crystal Palace
V. Claesson,Viktor Claesson,75,5500000,"LM,CAM",LM,Sweden,30,F.C. København
Escudero,Sergio Escudero Palomo,75,3900000,"LB,LM",LB,Spain,32,Real Valladolid CF
Joshuando Sá,Joshua Eduardo Sá Madeira,75,5500000,"LB,LWB",LB,Brazil,26,Santos
J. De Sart,Julien De Sart,75,6500000,"CM,CDM",CM,Belgium,27,KAA Gent
L. Janson,Lucas Janson,75,6000000,"LW,ST",LW,Argentina,27,Vélez Sarsfield
L. Tousart,Lucas Tousart,75,7500000,"CDM,CM",CB,France,25,Hertha BSC
J. Gbamin,Jean-Philippe Gbamin,75,5500000,"CDM,CM",CB,Côte d'Ivoire,26,Trabzonspor
C. Cueva,Christian Cueva,75,5500000,"LW,CAM,CM",LW,Peru,30,Al Fateh
N. Collins,Nathan Collins,75,10500000,"CB,RB",CB,Republic of Ireland,21,Wolverhampton Wanderers
C. Chambers,Calum Chambers,75,5500000,"CB,RB,CDM",CB,England,27,Aston Villa
H. Reed,Harrison Reed,75,6000000,"CDM,CM",CDM,England,27,Fulham
Kike García,Enrique García Martínez,75,4600000,ST,ST,Spain,32,CA Osasuna
M. Ducksch,Marvin Ducksch,75,6000000,ST,ST,Germany,28,SV Werder Bremen
M. Wittek,Maximilian Wittek,75,6000000,LWB,LWB,Germany,26,Vitesse
D. Foulquier,Dimitri Foulquier,75,4900000,"RB,CB,RWB",RB,France,29,Valencia CF
Tiago Djaló,Tiago Emanuel Embaló Djaló,75,10500000,"CB,RB,LB",CB,Portugal,22,LOSC Lille
B. Costil,Benoît Costil,75,950000,GK,GK,France,34,AJ Auxerre
B. Gomis,Bafétimbi Gomis,75,1900000,ST,ST,France,36,Galatasaray SK
Y. Adli,Yacine Adli,75,11500000,"CM,CAM",CAM,France,21,AC Milan
Júnior Caiçara,Uílson de Souza Paula Júnior,75,2900000,RB,RB,Brazil,33,İstanbul Başakşehir FK
Gabriel Strefezza,Gabriel Tadeu Strefezza Rebelato,75,7500000,RW,CAM,Brazil,25,Lecce
U. Antuna,Uriel Antuna,75,0,"RM,LM,RW",RM,Mexico,24,Free agent
E. Hysaj,Elseid Hysaj,75,5000000,"LB,RB",LB,Albania,28,Lazio
I. Sissoko,Ibrahima Sissoko,75,8000000,"CM,CDM,CB",CDM,France,24,RC Strasbourg Alsace
M. Kumbulla,Marash Kumbulla,75,10500000,CB,CB,Albania,22,Roma
Y. Mvogo,Yvon Mvogo,75,5000000,GK,GK,Switzerland,28,FC Lorient
Kaíquão Castro,Kaíque Osvaldo Castro Rodrigues,75,4500000,GK,GK,Brazil,26,Fluminense
A. Begović,Asmir Begović,75,625000,GK,GK,Bosnia and Herzegovina,35,Everton
M. Valjent,Martin Valjent,75,7500000,CB,CB,Slovakia,26,RCD Mallorca
Moleiro,Alberto Moleiro González,75,13000000,"LM,CM,CAM",CAM,Spain,18,Unión Deportiva Las Palmas
D. Turnbull,David Turnbull,75,11500000,"CM,CAM",CAM,Scotland,22,Celtic
Santi Comesaña,Santiago Comesaña Veiga,75,8000000,"CDM,CM,CAM",CDM,Spain,25,Rayo Vallecano
M. Aebischer,Michel Aebischer,75,7500000,CM,CM,Switzerland,25,Bologna
A. Caci,Anthony Caci,75,7500000,"LWB,LB,CB",LWB,France,25,1. FSV Mainz 05
E. Atuesta,Eduard Atuesta,75,0,"CDM,CM",CM,Colombia,25,Free agent
Aarón,Aarón Martín Caricol,75,7000000,"LWB,LB,LM",LWB,Spain,25,1. FSV Mainz 05
A. Elis,Alberth Elis,75,7500000,"ST,RM",ST,Honduras,26,FC Girondins de Bordeaux
Alam Lindeiro,Alam Cristian Lindeiro Couto,75,5500000,LB,LB,Brazil,26,Atlético Clube Goianiense
M. Gibbs-White,Morgan Gibbs-White,75,12500000,"CAM,ST,RM",CAM,England,22,Nottingham Forest
Gabriel Strefezza,Gabriel Tadeu Strefezza Rebelato,75,7500000,RW,CAM,Brazil,25,Lecce
R. Sessegnon,Ryan Sessegnon,75,12000000,"LWB,LB",LM,England,22,Tottenham Hotspur
Pol Lirola,Pol Mikel Lirola Kosok,75,8000000,"RB,RM",RWB,Spain,24,Elche CF
A. Pinamonti,Andrea Pinamonti,75,8500000,ST,ST,Italy,23,U.S. Sassuolo Calcio
M. Di Gregorio,Michele Di Gregorio,75,7000000,GK,GK,Italy,24,AC Monza
G. Til,Guus Til,75,7500000,"CAM,CM",ST,Netherlands,24,PSV
Cucho Hernández,Juan Camilo Hernández Suárez,75,8500000,"ST,RM,LM",ST,Colombia,23,Columbus Crew
V. Nelsson,Victor Nelsson,75,8000000,CB,CB,Denmark,23,Galatasaray SK
D. Geiger,Dennis Geiger,75,8500000,CM,CM,Germany,24,TSG Hoffenheim
J. Bellegarde,Jean-Ricner Bellegarde,75,8500000,"CM,CDM",CM,France,24,RC Strasbourg Alsace
M. Sarr,Malang Sarr,75,7000000,"CB,LB",CB,France,23,AS Monaco
J. Mosquera,Jhon Mosquera,75,4500000,LM,LM,Colombia,32,FC Viktoria Plzeň
Pedrinho,Pedro Filipe Barbosa Moreira,75,5500000,"CM,CAM",CAM,Portugal,29,MKE Ankaragücü
D. Liénard,Dimitri Liénard,75,2100000,"LWB,CM",CM,France,34,RC Strasbourg Alsace
Jean,Jean Paulo Fernandes Filho,75,5500000,GK,GK,Brazil,26,Club Cerro Porteño
Toni Martínez,Antonio Martínez López,75,8500000,ST,ST,Spain,25,FC Porto
Y. Wissa,Yoane Wissa,75,6500000,"LW,ST,LM",LW,Congo DR,25,Brentford
J. Lotomba,Jordan Lotomba,75,7500000,"RB,LB",RWB,Switzerland,23,OGC Nice
Dodô,Domilson Cordeiro dos Santos,75,12000000,RB,RM,Brazil,23,Fiorentina
S. Birindelli,Samuele Birindelli,75,12000000,"RWB,RM,RB",RWB,Italy,22,AC Monza
J. Willock,Joe Willock,75,12500000,"CM,CAM",CAM,England,22,Newcastle United
J. McArthur,James McArthur,75,1900000,"CDM,CM",CDM,Scotland,34,Crystal Palace
M. Okugawa,Masaya Okugawa,75,7000000,"CAM,LM",CAM,Japan,26,DSC Arminia Bielefeld
R. Olsen,Robin Olsen,75,2800000,GK,GK,Sweden,32,Aston Villa
Cesinha,Cesar Fernando Silva Melo,75,4500000,"LW,ST,CAM",CF,Brazil,32,Daegu FC
P. Schuurs,Perr Schuurs,75,10500000,CB,CB,Netherlands,22,Torino F.C.
M. Bayo,Mohamed Bayo,75,8500000,ST,ST,Guinea,24,LOSC Lille
J. El Yamiq,Jawad El Yamiq,75,4600000,CB,CB,Morocco,30,Real Valladolid CF
D. Martínez,David Martínez,75,7000000,"CB,LB",CB,Paraguay,24,River Plate
Junior Firpo,Héctor Junior Firpo Adamés,75,7000000,"LB,LWB",LWB,Spain,25,Leeds United
Y. Atal,Youcef Atal,75,7000000,"RB,RM",RM,Algeria,26,OGC Nice
Carles Pérez,Carles Pérez Sayol,75,7500000,"RM,ST,CAM",CAM,Spain,24,RC Celta de Vigo
